name,prompt,negative_prompt
None,,
[NAI] Default,"masterpiece, best quality, ","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name"
[NAI] Add Quality Tags,"masterpiece, best quality, ",
[NAI] Low quality + bad anatomy,,"lowres, bad anatomy, "
[NAI] No NSFW + More bad prompts,,"nsfw, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, artist name"
[NAI] Hello Asuka,"masterpiece, best quality, masterpiece, asuka langley sitting cross legged on a chair","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts,signature, watermark, username, blurry, artist name"
[NAI] blue butterfly girl,"(masterpiece:1.1025), (best quality:1.15763), (ultra-detailed:1.1025), (illustration:1.1025), (an extremely delicate and beautiful:1.05), (1girl:1.05), blue eyes, upper body, extremely detailed anime face and eyes, portrait, (lots of blue butterflies:1.05), (black hair:1.05), long hair, (blue taoist robes:1.1025), light particles, looking at viewer, blue flowers, branches, (blue lace:1.1025), (blue flowing lace:1.15763), starry eyes, starry adorns hair, bangs, disheveled hair, messy floating hair, detailed lighting, (ink:1.05), (magic style:1.1025), (plain black background:1.05), partially monochrome","lowres, (bad anatomy:1.1025), (bad hands:1.1025), text, missing finger, extra digits, fewer digits, blurry, (mutated hands and fingers:1.1025), (poorly drawn face:1.05), (mutation:1.1025), (deformed face:1.1025), (ugly:1.05), (bad proportions:1.1025), (extra limbs:1.1025), extra face, (double head:1.05), (extra head:1.05), (extra feet:1.1025), monster, logo, cropped, worst quality, low quality, normal quality, jpeg, humpbacked, long body, long neck, (jpeg artifacts:1.1025), "
[NAI] nice miku underwater,"(masterpiece:1.1025), (best quality:1.15763), (ultra-detailed:1.1025), (illustration:1.1025), (an extremely delicate and beautiful:1.05), (1girl:1.05), cute face, upper body, long dress, (beautiful detailed eyes:1.05), (stars in the eyes:1.2:1.05), (messy floating hair:1.3:1.05), colored inner hair,  (caustics:1.4:1.05), (bubble:1.4:1.05), (pearl:0.95238), (galaxy:0.95238), depth of field, (hatsune miku:1.3:1.05), floating hair, hair flower, splashing,  water, water drop, underwater, light rays, light particles, blue background, (coral reef:0.7:1.05), fish, cowboy shot, blue hair","lowres, (bad anatomy:1.1025), (bad hands:1.1025), text, missing finger, extra digits, fewer digits, blurry, (mutated hands and fingers:1.1025), (poorly drawn face:1.05), (mutation:1.1025), (deformed face:1.1025), (ugly:1.05), (bad proportions:1.1025), (extra limbs:1.1025), extra face, (double head:1.05), (extra head:1.05), (extra feet:1.1025), monster, logo, cropped, worst quality, low quality, normal quality, jpeg, humpbacked, long body, long neck, (jpeg artifacts:1.1025), "
